speaker_id,gender,age,dark_bright,rough_smooth,attractive,authoritative,cute,nasal,strong,warm,weak,profession
126,Female,Senior,,,,Authoritative,,,,,,"['Client and Public Interaction', 'Diplomacy and Judiciary']"
1335,Ambiguous,Adult,Bright,Smooth,,,,,,,,[]
1348,Female,Adult,,Smooth,,,,,,,,['Storytelling']
1365,Male,Adult,,Rough,,,,,,,,[]
1445,Male,Senior,Dark,,,,,,,,,[]
1638,Male,Senior,Dark,,,Authoritative,,,Strong,Warm,,['Storytelling']
1752,Female,Teenager,,Smooth,,,,,Strong,,,"['Public Presentation', 'Storytelling']"
1779,Ambiguous,Teenager,,,,,,,,,,[]
1825,Female,Teenager,Bright,Smooth,,,Cute,,,,,[]
231,Ambiguous,Teenager,Bright,Smooth,,,,,,,,['Client and Public Interaction']
2562,Male,Adult,Dark,,Attractive,,,,Strong,,,['Storytelling']
288,Ambiguous,Teenager,,,,,,,,,Weak,[]
2992,Male,Adult,Dark,,,,,,Strong,,,['Diplomacy and Judiciary']
30,Female,Teenager,Bright,,,,,,,,,[]
345,Male,Adult,,,,,,,,Warm,,['Storytelling']
3549,Female,Teenager,,,,,,,,,,['Client and Public Interaction']
3733,Female,Adult,,Smooth,,,,,,,,['Storytelling']
3781,Female,Teenager,Bright,Smooth,,,,,,,,['Client and Public Interaction']
3852,Female,Adult,,,,Authoritative,,Nasal,,,,['Diplomacy and Judiciary']
3864,Male,Senior,Dark,,Attractive,,,,,Warm,,['Storytelling']
3967,Female,Senior,,,Attractive,,,,,Warm,,['Storytelling']
4039,Male,Adult,,Smooth,,,,,,,,"['Public Presentation', 'Storytelling']"
4044,Ambiguous,Teenager,Bright,Smooth,,,Cute,,,,,['Storytelling']
4425,Male,Senior,Dark,Smooth,Attractive,,,,,Warm,,['Storytelling']
454,Male,Adult,,,Attractive,,,,,Warm,,['Storytelling']
4731,Female,Teenager,,Smooth,,,Cute,,,,,[]
5063,Female,Adult,,Smooth,,,,,,Warm,,['Storytelling']
5157,Male,Adult,,,,,,,,Warm,,['Storytelling']
5538,Ambiguous,Senior,Dark,,,,,,Strong,,,[]
5909,Male,Senior,,,,,,,,,,['Diplomacy and Judiciary']
5935,Male,Senior,Dark,,,,,,Strong,,,"['Storytelling', 'Diplomacy and Judiciary']"
5985,Male,Senior,Dark,,,Authoritative,,,Strong,,,"['Storytelling', 'Diplomacy and Judiciary']"
6014,Female,Adult,,,,,,Nasal,,,,[]
6080,Male,Adult,,,,,,,,,,[]
6286,Ambiguous,Senior,,,,,,,,Warm,,[]
6288,Female,Senior,,Smooth,,,,,,Warm,,"['Storytelling', 'Client and Public Interaction']"
6359,Female,Senior,,,,,,,,,,"['Public Presentation', 'Diplomacy and Judiciary']"
7558,Male,Adult,,,,,,Nasal,,,,[]
8183,Female,Adult,,,,Authoritative,,,,,,['Diplomacy and Judiciary']
8195,Male,Teenager,,,,,,Nasal,,,Weak,[]
836,Male,Adult,,,,,,,,Warm,,['Storytelling']
8464,Male,Adult,,,,,,,,,,['Storytelling']
8494,Male,Senior,Dark,,,Authoritative,,,Strong,,,['Diplomacy and Judiciary']
